timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773185620.3621182,0.0,89.6,7,0,0
1773185620.4625742,39.6,89.6,8,217,189
1773185620.562968,0.0,89.6,8,1832,1979
1773185620.6641617,9.9,89.6,8,2559,3146
1773185620.764957,9.9,89.6,9,3585,11756
1773185620.8654103,9.9,89.6,9,5213,19221
1773185620.9660857,0.0,89.6,10,6253,22367
1773185621.0665944,0.0,89.6,10,11359,28506
1773185621.166995,10.0,89.6,11,26231,60455
1773185621.2673657,0.0,89.6,11,29944,67722
1773185621.3687844,10.0,89.6,12,38376,69916
1773185621.4692314,9.9,89.6,12,39677,75004
1773185621.5695708,10.0,89.6,12,41921,154171
1773185621.6699023,0.0,89.6,12,42427,165213
1773185621.7703834,19.9,89.6,13,44355,181086
1773185621.870755,0.0,89.6,14,45343,188112
1773185621.9718664,10.0,89.6,14,46916,190154
1773185622.07301,9.9,89.6,14,47500,195007
1773185622.174232,9.9,89.6,14,49844,255612
1773185622.2753665,0.0,89.6,14,49844,255612
1773185622.3758247,0.0,89.6,14,49954,255612
1773185622.477043,0.0,89.6,14,49954,255612
1773185622.5807588,67.1,89.6,15,53188,421323
1773185622.6818256,0.0,89.6,15,54485,422560
1773185622.7828996,19.8,89.6,15,55589,427638
1773185622.8839371,9.9,89.6,15,57291,432533
1773185622.984385,9.9,89.6,15,57819,460655
1773185623.0850089,19.9,89.6,16,60845,480711
1773185623.1854794,19.9,89.6,17,62507,494736
1773185623.2866178,0.0,89.6,17,63640,499369
1773185623.3877275,0.0,89.6,17,63640,499459
1773185623.4888134,0.0,89.6,17,63640,499883
1773185623.5902457,0.0,89.6,17,64627,506893
1773185623.7046552,37.1,89.6,18,65350,521199
1773185623.8057346,9.3,89.6,18,65990,521723
1773185623.9061575,0.0,89.6,18,65990,521723
1773185624.0066032,0.0,89.6,19,66064,521723
1773185624.1070051,10.0,89.6,18,67364,528906
1773185624.2081108,9.9,89.6,19,69473,533891
1773185624.3087006,9.9,89.6,19,70500,541060
1773185624.40974,39.8,89.6,19,74064,707300
1773185624.5176387,55.9,89.6,20,74660,756869
1773185624.618008,9.9,89.6,20,76343,760179
1773185624.7185123,0.0,89.6,21,78074,774442
1773185624.8196754,9.9,89.6,21,78917,791710
1773185624.9202428,9.9,89.6,22,80631,848603
1773185625.021398,10.0,89.6,22,82051,852827
1773185625.1225297,9.9,89.6,23,82896,854330
1773185625.2237,0.0,89.6,23,82896,854330
1773185625.3247983,0.0,89.6,23,82896,854513
1773185625.4253223,9.9,89.6,23,84194,858408
1773185625.5258586,0.0,89.6,23,84260,858912
1773185625.626919,0.0,89.6,23,85501,882934
1773185625.7280061,0.0,89.6,23,85828,883122
1773185625.8284879,0.0,89.6,23,86014,883430
1773185625.9290297,10.0,89.6,23,88522,959668
1773185626.029616,0.0,89.6,23,88918,969832
1773185626.130333,19.9,89.6,22,90166,985467
1773185626.2309587,9.9,89.6,22,91834,991052
1773185626.3321323,0.0,89.6,22,92859,992551
1773185626.4326484,19.8,89.6,22,92859,992611
1773185626.5330706,0.0,89.6,22,92859,992611
1773185626.6341853,0.0,89.6,22,94106,997509
1773185626.7354345,0.0,89.6,22,94766,997575
1773185626.8359146,9.9,89.6,21,96662,1025367
1773185626.936565,10.0,89.6,20,98922,1031934
1773185627.037144,9.9,89.6,20,100407,1059183
1773185627.1376724,9.9,89.6,20,104359,1237519
1773185627.2380931,0.0,89.6,20,104425,1237705
1773185627.3391728,0.0,89.6,20,104425,1237828
1773185627.4402978,0.0,89.6,20,105148,1237902
1773185627.5435793,19.8,89.6,21,106119,1242801
1773185627.6441586,0.0,89.6,21,106877,1243119
1773185627.7445853,0.0,89.6,21,107009,1243679
1773185627.845751,0.0,89.6,22,107083,1243739
1773185627.946901,9.9,89.6,21,108263,1246903
1773185628.0480027,19.8,89.6,21,110265,1250851
1773185628.1486385,9.9,89.6,21,111347,1254074
1773185628.2490442,0.0,89.6,21,111479,1254206
1773185628.3494925,0.0,89.6,21,111479,1254206
1773185628.4498866,10.0,89.6,19,113529,1288938
1773185628.5503857,0.0,89.6,19,115124,1302806
1773185628.650763,10.0,89.6,19,115610,1323666
1773185628.751132,0.0,89.6,19,116336,1371346
1773185628.852301,9.9,89.6,19,117260,1423496
1773185628.9527862,59.3,89.6,19,117794,1433380
1773185629.0538745,10.0,89.6,19,119363,1436649
1773185629.1549723,29.7,89.6,19,122147,1446355
1773185629.256096,19.8,89.6,19,122977,1451540
1773185629.3571818,0.0,89.6,19,123539,1452494
1773185629.457756,0.0,89.6,19,123605,1454360
1773185629.558836,0.0,89.6,19,124328,1454434
1773185629.6597428,9.9,89.6,19,125042,1457149
