timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773185934.7003717,0.0,85.75,9,0,0
1773185934.8008988,49.5,85.75,18,8864,6324
1773185934.9014814,49.8,85.75,21,17335,58341
1773185935.0133288,29.8,85.75,24,23819,94498
1773185935.113817,35.8,85.75,27,30579,162968
1773185935.21425,49.8,85.75,30,35191,238602
1773185935.3287504,39.4,85.75,27,44296,441514
1773185935.4292955,52.9,85.75,28,52325,598310
1773185935.5299253,49.7,85.75,29,59906,706589
1773185935.630381,69.5,85.75,29,68553,1064725
1773185935.7310927,29.9,85.75,29,76095,1201067
1773185935.8315446,59.5,85.75,29,82939,1388395
1773185935.9320462,19.9,85.75,30,90271,1480234
1773185936.0337992,49.7,85.75,30,95686,1497898
1773185936.135309,48.7,85.75,29,104804,1559317
1773185936.2356627,29.8,85.75,29,112698,1631587
1773185936.3367515,29.9,85.75,29,117017,1642691
1773185936.4404843,38.5,85.75,29,120512,1766861
1773185936.549457,55.6,85.75,29,127820,1915330
1773185936.6499026,39.2,85.75,29,137551,2040266
1773185936.7519317,10.0,85.75,31,140745,2105718
1773185936.8523633,39.2,85.75,29,147141,2224453
1773185936.9643805,55.8,85.75,29,158273,2404756
1773185937.0650668,9.5,85.75,29,163144,2430624
1773185937.1654,49.7,85.75,30,167293,2540661
1773185937.2656937,39.9,87.1,29,179544,2948023
1773185937.366864,19.9,87.1,29,182559,2966131
1773185937.4681191,29.6,87.1,30,185346,2981208
1773185937.5743306,75.7,87.1,29,193296,3222724
1773185937.674723,29.5,87.1,29,201601,3303551
1773185937.7756128,49.8,87.1,29,207494,3431477
1773185937.8762317,79.3,96.48,29,213014,3699667
1773185937.97659,29.8,96.48,30,221065,3948512
1773185938.077054,69.7,102.06,28,228455,4178999
1773185938.177412,29.9,102.06,29,234533,4244629
1773185938.2830317,19.0,102.06,28,238514,4350232
1773185938.3886502,29.6,102.06,29,242207,4357231
1773185938.4891562,47.5,102.06,28,249649,4503685
1773185938.5895975,29.9,102.06,29,257587,4765421
1773185938.6901054,19.9,102.06,28,266774,5015078
1773185938.7904234,19.9,102.06,28,276887,5340034
1773185939.013728,79.0,109.32,25,285744,5499697
1773185939.114473,54.2,109.32,27,292240,5510877
1773185939.2176769,68.4,109.32,27,298704,5536232
1773185939.3181546,49.3,109.32,27,307986,5689801
1773185939.4187243,19.9,109.32,27,317186,5786468
1773185939.5191736,39.8,109.32,27,323680,5795564
1773185939.620076,19.9,109.32,27,330767,5805683
1773185939.721182,29.8,109.32,27,336730,5814047
1773185939.8269062,28.5,109.32,27,343438,5823427
1773185939.9280593,39.4,109.32,27,350451,5831980
1773185940.0324066,39.2,109.32,27,355799,5839438
1773185940.1342645,38.6,109.32,27,361731,5848154
1773185940.2353518,29.6,109.32,27,367468,5855307
1773185940.3448648,19.8,109.32,26,372431,5864700
1773185940.455736,26.2,109.32,28,375333,5872001
1773185940.5569255,18.9,109.32,27,377269,5876790
1773185940.6586745,0.0,109.32,27,377663,5877771
1773185940.7597873,9.8,109.32,28,379123,5879449
1773185940.8603506,9.9,109.32,29,380726,5880450
1773185940.9610512,9.9,109.32,28,381998,5884322
1773185941.0621912,9.9,109.32,28,384525,5894207
1773185941.1676714,19.4,109.32,28,387054,5902226
1773185941.2721155,9.7,109.32,28,389187,5906392
1773185941.3732638,19.1,109.32,27,390627,5909345
1773185941.474436,29.7,109.32,28,393731,5917197
1773185941.5755506,9.9,109.32,28,394704,5922891
1773185941.676658,39.6,109.32,28,396352,5931845
1773185941.7771626,0.0,109.32,27,397058,5941564
1773185941.8782496,9.9,109.32,27,397499,5953599
1773185941.9907897,26.7,109.32,28,398967,5958223
1773185942.0918946,29.6,109.32,28,400857,5973425
1773185942.192998,9.9,109.32,27,402093,5976981
1773185942.294822,29.6,109.32,28,404344,5984053
1773185942.395934,0.0,109.32,28,405147,5984420
1773185942.4971051,9.9,109.32,28,406284,5989177
1773185942.5981863,0.0,109.32,28,406536,5989177
1773185942.6993768,0.0,109.32,28,408214,5990785
1773185942.8004978,9.9,109.32,27,409907,5993305
1773185942.9016304,9.9,109.32,27,411038,5997402
1773185943.0027344,19.8,109.32,27,412074,6025694
1773185943.116433,17.9,109.32,28,413010,6041568
1773185943.2175539,38.8,109.32,28,414653,6049936
1773185943.3186748,0.0,109.32,28,415213,6050702
1773185943.4197905,9.9,109.32,27,416113,6051695
1773185943.5203068,0.0,109.32,27,417047,6052190
1773185943.6213825,0.0,109.32,27,417651,6053006
1773185943.7224436,9.9,109.32,27,418452,6053943
1773185943.8235543,9.9,109.32,28,419427,6057725
1773185943.9246664,9.9,109.32,28,421221,6058515
1773185944.0260508,29.7,109.32,28,423678,6063052
1773185944.1313226,28.3,109.32,28,426198,6087116
1773185944.2324739,0.0,109.32,27,427752,6087905
1773185944.333607,9.9,109.32,27,428628,6091594
1773185944.4347215,0.0,109.32,27,428694,6091660
1773185944.5358312,9.9,109.32,27,429771,6107294
1773185944.636962,0.0,109.32,27,429837,6109752
1773185944.7374804,19.8,109.32,28,431843,6139632
1773185944.8385837,9.9,109.32,28,432532,6144215
1773185944.9393399,0.0,109.32,27,433727,6145615
1773185945.0397437,9.9,109.32,28,434096,6147611
1773185945.1438136,19.9,109.32,27,436258,6154308
1773185945.2449348,19.2,109.32,27,436662,6158085
1773185945.3460238,9.9,109.32,27,437388,6158977
1773185945.4471478,0.0,109.32,27,437868,6159629
1773185945.5482447,0.0,109.32,27,438381,6160305
1773185945.649358,0.0,109.32,27,439908,6160705
1773185945.7498856,9.9,109.32,27,441285,6164173
1773185945.8509543,9.9,109.32,27,441993,6165124
1773185945.9520564,0.0,109.32,27,442657,6165889
1773185946.0531456,19.8,109.32,28,443148,6169770
1773185946.154227,9.9,109.32,27,444144,6170722
1773185946.2553685,0.0,109.32,27,444728,6171482
1773185946.3564258,0.0,109.32,27,444913,6171718
1773185946.4568803,9.9,109.32,27,446277,6172647
1773185946.557953,0.0,109.32,27,446277,6172779
1773185946.6590507,9.9,109.32,27,447164,6173882
1773185946.7601447,0.0,109.32,26,447600,6174713
1773185946.8612719,29.7,109.32,26,449659,6176635
1773185946.96247,9.9,109.32,26,452005,6182010
1773185947.064094,9.9,109.32,25,453545,6184299
1773185947.1645718,19.7,109.32,26,457019,6192076
1773185947.265658,29.9,109.32,27,458991,6201593
1773185947.3662963,29.7,109.32,27,462968,6210505
1773185947.4674513,9.9,109.32,27,466643,6219126
1773185947.5803525,56.0,109.32,27,470459,6286594
1773185947.682553,9.3,109.32,27,473975,6288455
1773185947.7832394,49.3,109.32,27,478228,6329367
1773185947.8836362,49.7,109.32,27,480885,6368444
1773185947.9842653,0.0,109.32,27,482964,6379847
1773185948.085453,39.7,109.32,27,485936,6409914
1773185948.1858525,89.0,109.32,29,490032,6525559
1773185948.286995,9.9,109.32,29,493995,6541128
1773185948.3881516,39.5,109.32,28,498161,6550433
1773185948.48861,69.3,109.32,29,504349,6607666
1773185948.5902426,29.8,109.32,28,511800,6661168
1773185948.6906953,49.3,109.32,29,515984,6731209
1773185948.7915843,19.9,109.32,28,524406,6763377
1773185948.8926134,59.4,109.32,28,527616,6826842
1773185948.9973977,38.1,109.32,29,534421,6988090
1773185949.107514,64.6,109.32,26,542361,7258138
1773185949.2085233,9.8,109.32,29,548079,7275666
1773185949.3088946,49.5,109.32,28,553074,7331091
1773185949.4099903,29.9,109.32,29,560479,7356040
1773185949.5106091,39.6,109.32,29,564873,7373139
1773185949.617832,75.3,109.32,29,571092,7501988
1773185949.718371,29.6,109.32,29,579074,7609153
1773185949.8194711,39.7,109.32,29,584346,7629335
1773185949.9199772,49.4,109.32,29,589366,7661200
1773185950.0276773,38.3,109.32,28,594132,7758642
1773185950.1288295,38.6,109.32,29,599951,7778616
1773185950.22944,39.6,109.32,29,603789,7788960
1773185950.3417115,55.9,109.32,27,609565,7803273
1773185950.4421127,18.9,109.32,28,614936,7928567
1773185950.5908754,73.4,109.32,29,619177,8209689
1773185950.6913862,39.5,109.32,29,623975,8262390
1773185950.793544,29.8,109.32,28,626853,8336193
1773185950.8940275,58.7,109.32,29,632700,8562797
1773185951.0063946,55.2,109.32,29,637250,8663001
1773185951.1069465,28.8,109.32,29,642588,8784683
1773185951.2076278,19.9,109.32,29,648142,8809377
1773185951.3225994,54.4,109.32,27,651202,8878978
1773185951.4824493,44.3,109.32,28,658459,8979013
1773185951.5830839,30.8,109.32,29,664662,9053513
1773185951.696705,80.4,109.32,27,667704,9136037
1773185951.79893,9.7,109.32,28,671780,9141613
1773185951.8994193,49.3,109.32,28,679411,9238207
1773185951.9999058,29.8,109.32,28,683914,9282818
1773185952.1003468,69.6,109.32,29,690000,9418799
1773185952.2036653,19.7,109.32,29,697121,9449670
1773185952.3125474,67.0,109.32,28,702325,9464879
1773185952.4131474,28.1,109.32,28,712365,9488958
1773185952.5138702,49.7,109.32,29,720170,9523033
1773185952.6143227,49.7,109.32,29,726474,9738259
1773185952.7148209,29.9,109.32,29,732437,9867150
1773185952.8305097,64.2,109.32,27,742983,10532485
1773185952.930981,93.3,114.98,28,744516,10581360
1773185953.0315068,10.0,114.98,28,746510,10649305
1773185953.1342628,9.9,114.98,28,748099,10695565
1773185953.235399,19.5,114.98,28,748855,10724246
1773185953.3364944,0.0,114.98,28,748855,10724369
1773185953.4369428,0.0,114.98,28,749315,10724435
1773185953.5380805,0.0,114.98,28,750107,10724974
1773185953.638439,0.0,114.98,28,750371,10728474
1773185953.7395973,0.0,114.98,28,750371,10728474
1773185953.8407123,9.9,114.98,28,750623,10728534
1773185953.9415452,0.0,114.98,28,750623,10728534
1773185954.042638,0.0,114.98,28,750868,10728534
1773185954.1437297,0.0,114.98,28,750868,10728534
1773185954.2448297,9.9,114.98,28,750868,10728594
1773185954.3459158,0.0,114.98,28,750868,10728714
1773185954.4470787,0.0,114.98,28,750868,10728714
1773185954.5481596,0.0,114.98,28,750868,10728714
1773185954.649299,0.0,114.98,28,750922,10728780
1773185954.7503994,0.0,114.98,28,750922,10728780
1773185954.8515074,0.0,114.98,28,750922,10728780
1773185954.952628,0.0,114.98,28,750922,10728780
1773185955.0537205,0.0,114.98,28,750922,10728780
1773185955.1548188,0.0,114.98,28,750922,10728780
1773185955.255916,0.0,114.98,28,750922,10728780
1773185955.3570178,0.0,114.98,27,750922,10729023
1773185955.457491,9.9,114.98,27,750922,10729023
1773185955.558564,0.0,114.98,27,750922,10729023
1773185955.6591632,0.0,114.98,27,750922,10729023
1773185955.7602432,0.0,114.98,27,750922,10729023
1773185955.8613532,0.0,114.98,27,750922,10729023
1773185955.9624596,0.0,114.98,27,750922,10729023
1773185956.0635586,0.0,114.98,27,750922,10729023
1773185956.1646638,0.0,114.98,27,750922,10729023
1773185956.2657733,0.0,114.98,27,750922,10729023
1773185956.3668826,0.0,114.98,27,750922,10729143
1773185956.4673815,0.0,114.98,27,750922,10729143
1773185956.5684552,0.0,114.98,27,750922,10729143
1773185956.6695666,0.0,114.98,27,751692,10729365
1773185956.770677,9.9,114.98,27,751956,10732865
1773185956.8712199,0.0,114.98,27,751956,10732865
1773185956.9723182,0.0,114.98,27,751956,10732865
1773185957.073438,0.0,114.98,27,751956,10732865
1773185957.174538,9.9,114.98,27,751956,10732865
1773185957.2756393,0.0,114.98,27,752066,10732988
1773185957.3767362,0.0,114.98,27,752066,10732988
