timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773187780.5538712,0.0,173.55,8,0,0
1773187780.6543114,39.8,173.55,33,10925,11633
1773187780.7546315,29.9,173.55,57,44315,82604
1773187780.8549476,49.8,173.55,57,74321,228889
1773187780.9561343,39.8,173.55,61,97496,425202
1773187781.0565994,79.1,173.55,59,132448,710091
1773187781.1569378,59.8,173.55,56,167102,928717
1773187781.25725,19.9,173.55,56,186920,1035628
1773187781.3584833,19.8,173.55,52,206410,1253939
1773187781.4588053,39.9,173.55,51,238154,2004807
1773187781.559145,59.8,173.55,40,263071,2221666
1773187781.659606,29.9,173.55,39,279852,2373547
1773187781.761408,19.9,173.55,39,295074,2535376
1773187781.861733,19.7,173.55,40,311671,2902434
1773187781.9629314,29.9,173.55,42,319919,2919825
1773187782.0634701,59.3,173.55,41,327435,2976544
1773187782.1703,19.4,173.55,45,335328,2988048
1773187782.2714124,19.2,173.55,45,340236,2991870
1773187782.3717575,39.6,173.55,45,345938,3002303
1773187782.4733248,10.0,173.55,47,359906,3024862
1773187782.5745394,49.2,173.55,47,365416,3037425
1773187782.675072,59.4,173.55,47,378699,3066840
1773187782.7844458,54.9,173.55,52,392264,3104674
1773187782.8880837,49.1,173.55,54,412673,3157175
1773187782.9884393,58.6,173.55,57,441764,3260351
1773187783.0895958,39.8,173.55,56,468118,3362071
1773187783.1904461,89.0,173.55,57,495752,3452661
1773187783.292758,39.7,173.55,57,520101,3605926
1773187783.3943615,48.8,173.55,51,544227,3723464
1773187783.4948676,49.2,173.55,45,565978,3878544
1773187783.5953343,49.8,173.55,44,579833,3928186
1773187783.6961603,39.8,173.55,42,591727,3976324
1773187783.7996662,59.5,173.55,36,604118,4059854
1773187783.9003096,29.0,173.55,32,612754,4137955
1773187784.0020037,39.7,173.55,32,620518,4177660
1773187784.102593,39.3,173.55,28,627480,4368196
1773187784.203915,9.9,173.55,27,630066,4405447
1773187784.3051038,29.6,173.55,27,631725,4409068
1773187784.4055164,39.6,173.55,27,636742,4627934
1773187784.5058868,19.9,173.55,27,643214,4860515
1773187784.6070175,10.0,173.55,26,644618,4861274
1773187784.7081177,19.8,173.55,26,645538,4865804
1773187784.809191,9.9,173.55,26,646319,4868231
1773187784.9103246,0.0,173.55,26,646979,4868297
1773187785.0114448,0.0,173.55,26,647522,4881838
1773187785.112041,9.9,173.55,25,648146,4882676
1773187785.2131827,0.0,173.55,24,648576,4883722
1773187785.3143246,0.0,173.55,24,648654,4883994
1773187785.4154232,0.0,173.55,24,648948,4884237
1773187785.516533,0.0,173.55,24,648948,4884237
1773187785.6176298,0.0,173.55,24,649199,4884237
1773187785.7187395,0.0,173.55,24,649273,4884237
1773187785.8195705,0.0,173.55,24,649401,4884375
1773187785.9207115,9.9,173.55,23,650013,4886143
1773187786.0218372,0.0,173.55,23,650079,4886209
1773187786.1229234,0.0,173.55,23,650152,4886342
1773187786.2240329,0.0,173.55,23,650697,4887030
1773187786.3251293,0.0,173.55,22,650843,4887445
1773187786.4261923,0.0,173.55,22,650918,4887630
1773187786.5273397,0.0,173.55,22,650918,4887630
1773187786.628455,0.0,173.55,21,650918,4887630
1773187786.729551,9.9,173.55,21,650918,4887630
1773187786.8306046,0.0,173.55,21,650918,4887630
1773187786.9310327,9.9,173.55,21,650984,4887696
1773187787.0320852,0.0,173.55,21,650984,4887696
1773187787.1331372,0.0,173.55,21,650984,4887756
1773187787.2341957,0.0,173.55,21,651236,4887756
1773187787.335333,0.0,173.55,21,651236,4887816
1773187787.4364214,0.0,173.55,21,651487,4887939
1773187787.5375047,0.0,173.55,21,651487,4887939
1773187787.6386058,0.0,173.55,21,651487,4887939
1773187787.7397256,0.0,173.55,20,651553,4887939
1773187787.840761,0.0,173.55,20,651797,4887939
1773187787.9418576,0.0,173.55,20,651797,4888005
1773187788.0429473,0.0,173.55,20,651797,4888125
1773187788.1440423,0.0,173.55,20,652457,4888191
1773187788.2445328,0.0,173.55,19,652721,4891915
1773187788.3456085,10.0,173.55,19,652721,4891915
1773187788.4466927,0.0,173.55,19,652787,4891915
1773187788.5477738,0.0,173.55,18,652787,4891975
1773187788.6489127,0.0,173.55,18,653858,4892723
