timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773290794.4098039,0.0,50.42,10,0,0
1773290794.5102515,49.4,50.71,19,11282,6954
1773290794.6107354,49.8,50.73,23,20970,61080
1773290794.7118416,29.8,50.74,27,26986,88528
1773290794.8129969,19.8,50.75,27,29154,110690
1773290794.914151,39.5,50.75,30,35243,173532
1773290795.0150383,49.4,50.75,29,42161,208342
1773290795.1162276,29.6,50.75,30,49602,335906
1773290795.2194912,78.3,50.76,30,57777,492151
1773290795.3198872,29.5,51.57,30,68089,609964
1773290795.4203289,19.9,51.57,31,73707,692050
1773290795.5231476,29.8,51.57,31,79250,714310
1773290795.6246696,58.3,51.57,29,89724,758469
1773290795.725792,29.6,51.58,29,100180,812309
1773290795.8262575,39.5,51.58,30,108386,1001792
1773290795.927378,9.9,51.58,30,111079,1010249
1773290796.027848,29.7,51.96,30,120716,1110545
1773290796.1295493,19.9,51.96,30,129436,1200217
1773290796.230647,29.5,51.96,30,137205,1267184
1773290796.3343992,58.4,51.96,30,143328,1371171
1773290796.4364488,9.8,52.33,30,150028,1416033
1773290796.536911,58.8,52.35,29,156703,1454534
1773290796.6436954,49.5,52.36,30,162298,1473735
1773290796.7447639,28.3,52.39,30,170141,1572165
1773290796.8531272,39.1,52.4,30,174589,1615853
1773290796.9537776,28.0,52.4,29,181583,1629806
1773290797.0549173,29.8,52.4,30,185717,1641911
1773290797.1556902,39.6,52.4,30,190262,1684460
1773290797.2569492,69.4,52.4,31,196352,1715906
1773290797.358062,9.9,52.4,29,202435,1747703
1773290797.4591923,29.7,52.4,29,205485,1772615
1773290797.5602763,59.4,52.4,32,209837,1796137
1773290797.6606684,49.5,52.41,29,220305,1910221
1773290797.7643845,19.4,52.41,29,232042,2057471
1773290797.8648143,49.4,52.41,29,240456,2095851
1773290797.9668913,29.8,52.41,29,251450,2128085
1773290798.0699167,29.5,52.41,27,262832,2163798
1773290798.1709967,19.4,52.41,29,274480,2184144
