timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773187872.4575849,0.0,172.2,8,0,0
1773187872.603698,104.4,172.2,7,240,342
1773187872.7041261,63.8,172.2,31,9062,7989
1773187872.8044925,39.9,172.2,63,40043,69177
1773187872.9048214,79.7,172.2,69,67403,193347
1773187873.0081763,58.2,172.2,67,90473,260963
1773187873.1127946,67.7,172.2,63,122990,388636
1773187873.2161748,97.1,172.2,52,143748,649047
1773187873.3167274,68.4,172.2,34,160777,709500
1773187873.4506323,28.8,172.2,32,174727,730842
1773187873.5511315,53.8,172.2,33,187214,748681
1773187873.6522443,39.8,172.2,38,194763,764641
1773187873.7586071,47.0,172.2,39,201641,776816
1773187873.85959,39.6,172.2,45,210237,792142
1773187873.9602158,39.6,172.2,47,219438,809830
1773187874.0613863,9.9,172.2,51,225319,818796
1773187874.1649907,49.1,172.2,49,232761,843575
1773187874.2673686,67.5,172.2,54,246814,869872
1773187874.367888,39.4,172.2,57,260322,903022
1773187874.468326,39.8,172.2,61,280457,954196
1773187874.5687444,49.8,172.2,66,309756,1072862
1773187874.6699739,39.8,172.2,67,332591,1135830
1773187874.7704966,69.1,172.2,67,367921,1300076
1773187874.8708856,39.9,172.2,75,394985,1419078
1773187874.9722357,39.7,172.2,79,427111,1627400
1773187875.0726,59.3,172.2,94,471814,1742161
1773187875.1735327,69.6,172.2,78,517134,2011090
1773187875.2739854,69.5,172.2,60,548709,2643287
1773187875.3757892,59.7,172.2,50,571277,3453752
1773187875.4770586,49.1,172.2,43,589067,3805148
1773187875.5777597,39.5,172.2,37,600225,3979921
1773187875.6788578,59.6,172.2,32,607443,4232881
1773187875.7799602,29.7,172.2,30,612547,4263976
1773187875.8804622,19.8,172.2,29,621652,4523985
1773187875.9815598,29.8,172.2,29,622498,4536938
1773187876.0827005,0.0,172.2,28,623279,4538307
1773187876.1838295,0.0,172.2,28,623717,4538867
1773187876.2849624,19.8,172.2,28,624205,4545701
1773187876.3860896,9.9,172.2,29,624835,4546599
1773187876.4871874,9.9,172.2,29,625139,4547330
1773187876.5883856,0.0,172.2,29,625139,4547330
1773187876.6895094,0.0,172.2,28,625403,4556877
1773187876.7906315,19.8,172.2,28,625931,4584347
1773187876.8917525,0.0,172.2,27,626165,4584555
1773187876.9929078,39.6,172.2,27,630941,4876334
1773187877.093392,0.0,172.2,27,631147,4879829
1773187877.194568,0.0,172.2,27,631221,4879829
1773187877.2957544,0.0,172.2,26,631221,4880135
1773187877.396869,0.0,172.2,26,631221,4880135
1773187877.4980361,0.0,172.2,26,631221,4880258
1773187877.5991323,0.0,172.2,26,631221,4880258
1773187877.7002459,9.9,172.2,26,631221,4880258
1773187877.8013651,0.0,172.2,26,631221,4880258
1773187877.902487,0.0,172.2,26,631295,4880318
1773187878.0036073,9.9,172.2,23,631295,4880318
1773187878.104714,0.0,172.2,23,631369,4880318
1773187878.2058356,0.0,172.2,22,632335,4881576
1773187878.3069355,0.0,172.2,22,632335,4881576
1773187878.4080749,0.0,172.2,22,632335,4881576
1773187878.5091364,0.0,172.2,22,632790,4882177
1773187878.610243,0.0,172.2,22,632790,4882177
1773187878.711347,0.0,172.2,22,633579,4883025
1773187878.812442,0.0,172.2,21,634183,4884008
1773187878.913525,0.0,172.2,21,634183,4884008
1773187879.01458,9.9,172.2,21,634545,4884164
1773187879.1156862,9.9,172.2,21,634545,4884164
1773187879.216792,0.0,172.2,20,634611,4884164
1773187879.3178694,0.0,172.2,20,634653,4884224
1773187879.4189615,0.0,172.2,20,634763,4884413
1773187879.5200517,0.0,172.2,20,634763,4884413
1773187879.6211221,0.0,172.2,20,634763,4884413
1773187879.7221777,0.0,172.2,20,634763,4884413
1773187879.823314,0.0,172.2,20,634763,4884413
1773187879.9237497,0.0,172.2,20,634763,4884413
1773187880.024815,0.0,172.2,20,634763,4884413
1773187880.1259758,9.9,172.2,19,635926,4884704
1773187880.227117,0.0,172.2,19,637002,4885452
1773187880.3276474,0.0,172.2,18,637200,4889049
1773187880.42876,0.0,172.2,18,637266,4889109
1773187880.529858,0.0,172.2,17,637332,4889169
1773187880.6309044,0.0,172.2,17,637398,4889229
1773187880.7319777,0.0,172.2,17,637464,4889289
1773187880.8330631,0.0,172.2,17,637924,4889834
1773187880.9341257,9.9,172.2,17,637924,4889894
1773187881.0345423,0.0,172.2,17,638573,4889968
1773187881.1356091,10.0,172.2,17,638573,4889968
1773187881.2359207,0.0,172.2,17,639164,4893596
1773187881.3369782,0.0,172.2,17,639532,4893662
1773187881.4380744,0.0,172.2,17,639598,4894279
1773187881.5391352,0.0,172.2,17,639664,4895077
1773187881.64016,0.0,172.2,17,639664,4895077
1773187881.7412903,9.9,172.2,17,639664,4895077
1773187881.842325,0.0,172.2,17,639664,4895077
1773187881.943475,0.0,172.2,17,639664,4895077
1773187882.0445669,0.0,172.2,17,639915,4895077
